,NAME,ADDRESS,CITY,COUNTY,LON,LAT,geometry
127521,洋塘殿,紫金北路附近,金华市,义乌市,120.134407,29.353874,POINT (120.134407 29.353874)
127522,玉皇殿,紫金北路附近,金华市,义乌市,120.134499,29.353971,POINT (120.134499 29.353971)
127528,义乌薰衣草基地,何斯路村,金华市,义乌市,119.951416,29.340208,POINT (119.951416 29.340208)
127529,道院山生态园,大士路2号,金华市,义乌市,120.026558,29.198095,POINT (120.026558 29.198095)
127567,六和亭,,宁波市,镇海区,121.510712,30.009375,POINT (121.510712 30.009375)
127703,舍利塔,315省道,衢州市,龙游县,119.301743,29.061321,POINT (119.301743 29.061321)
127725,海晏寺,春光路71号附近,宁波市,慈溪市,121.409508,30.228079,POINT (121.409508 30.228079)
127848,金地坊,迎恩门一街51号,金华市,义乌市,120.072105,29.302807,POINT (120.072105 29.302807)
127866,渠城殿,城北路附近,金华市,义乌市,120.061241,29.361336,POINT (120.061241 29.361336)
127868,黄山八面厅,杨横线附近,金华市,义乌市,119.913589,29.327074,POINT (119.913589 29.327074)
127870,龙山风景区,大陈镇大陈蕰草塘村旁,金华市,义乌市,120.099274,29.451414,POINT (120.099274 29.451414)
127881,天龙风景区,,金华市,义乌市,119.969223,29.085152,POINT (119.969223 29.085152)
127888,顺宁寺,稠岭线附近,金华市,义乌市,120.014732,29.216967,POINT (120.014732 29.216967)
127890,傅大士文化陈列馆,江东南路598附近,金华市,义乌市,120.057686,29.276409,POINT (120.057686 29.276409)
127891,诸义东革命历史纪念馆,007乡道附近,金华市,义乌市,120.145691,29.462526,POINT (120.145691 29.462526)
127892,将军寺,杨横线附近,金华市,义乌市,119.909683,29.345636,POINT (119.909683 29.345636)
127894,双溪寺,铜白线附近,金华市,义乌市,119.887199,29.295393,POINT (119.887199 29.295393)
127896,楼氏宗祠,007乡道附近,金华市,义乌市,120.145691,29.462526,POINT (120.145691 29.462526)
127922,中华养生丹溪文化园,梅溪北区231号附近,金华市,义乌市,120.07193,29.141268,POINT (120.07193 29.141268)
127929,陈望道故居,东鲤线,金华市,义乌市,119.963211,29.345169,POINT (119.963211 29.345169)
127980,护福殿,小杜线,台州市,临海市,121.582848,28.7472,POINT (121.582848 28.7472)
127982,梅园,府山西路,绍兴市,越城区,120.570137,29.999964,POINT (120.570137 29.999964)
127983,古塘庵,,绍兴市,越城区,120.616158,30.028093,POINT (120.616158 30.028093)
128001,青山醉雾,,舟山市,普陀区,122.396515,29.847485,POINT (122.396515 29.847485)
128002,清福禅寺,海桥路,温州市,乐清市,120.988022,28.152834,POINT (120.988022 28.152834)
128003,净名谷,净名路16-1号,温州市,乐清市,121.1017,28.367781,POINT (121.1017 28.367781)
