,NAME,ADDRESS,TELEPHONE,PROVINCE,CITY,COUNTY,CODE,LON,LAT,TYPECODE,BASETYPE,SUBTYPE,CATEGORY,geometry
20498,兰溪服务区,兰溪服务区附近,,浙江省,金华市,兰溪市,330781,119.475426,29.131765,180300,道路附属设施,服务区,高速服务区,POINT (119.475426 29.131765)
20501,磐安服务区,深圳乡上亨堂村,,浙江省,金华市,磐安县,330727,120.414574,28.984699,180300,道路附属设施,服务区,高速服务区,POINT (120.414574 28.984699)
20502,磐安服务区,深圳乡上亨堂村,,浙江省,金华市,磐安县,330727,120.416382,28.984079,180300,道路附属设施,服务区,高速服务区,POINT (120.416382 28.984079)
20549,东阳服务区,,,浙江省,金华市,东阳市,330783,120.350136,29.339371,180300,道路附属设施,服务区,高速服务区,POINT (120.350136 29.339371)
20550,东阳服务区,,,浙江省,金华市,东阳市,330783,120.40564,29.301056,180300,道路附属设施,服务区,高速服务区,POINT (120.40564 29.301056)
20551,东阳服务区,六石镇王村,13505896757,浙江省,金华市,东阳市,330783,120.349022,29.340912,180300,道路附属设施,服务区,高速服务区,POINT (120.349022 29.340912)
20552,服务区,,,浙江省,金华市,东阳市,330783,120.365105,29.400253,180300,道路附属设施,服务区,高速服务区,POINT (120.365105 29.400253)
20555,服务区,,,浙江省,金华市,东阳市,330783,120.363747,29.39958,180300,道路附属设施,服务区,高速服务区,POINT (120.363747 29.39958)
20820,东阳服务区,歌山镇光远村诸永高速,,浙江省,金华市,东阳市,330783,120.407837,29.301136,180300,道路附属设施,服务区,高速服务区,POINT (120.407837 29.301136)
21233,神仙居服务区,,,浙江省,台州市,仙居县,331024,120.635071,28.731127,180300,道路附属设施,服务区,高速服务区,POINT (120.635071 28.731127)
21292,嵊州服务区,,,浙江省,绍兴市,嵊州市,330683,120.841972,29.786772,180300,道路附属设施,服务区,高速服务区,POINT (120.841972 29.786772)
22674,武义服务区,桐琴镇,,浙江省,金华市,武义县,330723,119.945244,28.863592,180300,道路附属设施,服务区,高速服务区,POINT (119.945244 28.863592)
22704,金华服务区,傅村镇石狮塘村,,浙江省,金华市,金东区,330703,119.885979,29.245022,180300,道路附属设施,服务区,高速服务区,POINT (119.885979 29.245022)
23567,温州服务区,G15(沈海高速)1755K温州南收费站旁,0577-86719099;18066309006,浙江省,温州市,瓯海区,330304,120.690857,27.933132,180300,道路附属设施,服务区,高速服务区,POINT (120.690857 27.933132)
23604,苍南服务区,浦亭乡甬台温高速,,浙江省,温州市,苍南县,330327,120.379852,27.509371,180300,道路附属设施,服务区,高速服务区,POINT (120.379852 27.509371)
23770,青田服务区,船寮镇水井头村,,浙江省,丽水市,青田县,331121,120.179214,28.26757,180300,道路附属设施,服务区,高速服务区,POINT (120.179214 28.26757)
24053,服务区,,,浙江省,湖州市,长兴县,330522,119.68428,31.131477,180302,道路附属设施,服务区,高速停车区,POINT (119.68428 31.131477)
24054,服务区,,,浙江省,湖州市,长兴县,330522,119.686516,31.130329,180302,道路附属设施,服务区,高速停车区,POINT (119.686516 31.130329)
24066,长兴服务区,,,浙江省,湖州市,长兴县,330522,119.732231,30.927275,180300,道路附属设施,服务区,高速服务区,POINT (119.732231 30.927275)
24067,长兴服务区,林城填阳光村,,浙江省,湖州市,长兴县,330522,119.731888,30.928989,180300,道路附属设施,服务区,高速服务区,POINT (119.731888 30.928989)
24069,青山服务区,埭溪镇候射村,,浙江省,湖州市,吴兴区,330502,120.052689,30.664921,180300,道路附属设施,服务区,高速服务区,POINT (120.052689 30.664921)
